epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4432,2.55058,3.85863,2.36524,0.00907,0.29083,0.04444,0.02361,1.23588,3.52198,1.45791,5e-05,5e-05,5e-05
2,21.0008,2.40987,3.78092,2.20105,0.01126,0.34101,0.08343,0.04743,1.32451,3.4872,1.46546,0.000110272,0.000110272,0.000110272
3,25.3993,1.97329,3.35864,1.89568,0.01217,0.37363,0.08317,0.03511,1.58437,3.51532,1.58254,0.00016807,0.00016807,0.00016807
4,28.3247,1.85888,2.94975,1.75537,0.01333,0.41552,0.06689,0.01974,1.66923,3.47461,1.59586,0.000223392,0.000223392,0.000223392
5,29.8874,2.00839,2.73761,1.87807,0.01955,0.5571,0.08498,0.02594,1.76449,3.2945,1.63221,0.00027624,0.00027624,0.00027624
6,31.1731,1.762,2.46533,1.68674,0.02399,0.52399,0.12804,0.03993,1.96614,3.25411,1.72802,0.000326613,0.000326613,0.000326613
7,32.2317,1.78467,2.38067,1.70215,0.03042,0.43682,0.17629,0.07886,1.84305,3.15567,1.65423,0.00037451,0.00037451,0.00037451
8,33.3402,1.63,2.35371,1.62437,0.02816,0.48325,0.20375,0.10838,1.61003,2.96989,1.54283,0.000419932,0.000419932,0.000419932
9,34.3292,1.73727,2.33439,1.70869,0.38608,0.36098,0.1936,0.07512,1.89838,2.86108,1.64702,0.00046288,0.00046288,0.00046288
10,35.2512,1.57588,2.18597,1.53345,0.73827,0.11134,0.22275,0.08481,1.89879,2.65898,1.64573,0.000503353,0.000503353,0.000503353
11,36.1286,1.68729,2.14337,1.64065,0.72547,0.17571,0.2716,0.11741,2.00056,2.45733,1.75678,0.00054135,0.00054135,0.00054135
12,37.0717,1.61077,2.1331,1.5427,0.60447,0.16796,0.24836,0.10438,1.96249,2.46268,1.61503,0.000576873,0.000576873,0.000576873
13,37.969,1.57765,2.13918,1.58582,0.65716,0.19552,0.29332,0.1294,1.90639,2.41252,1.58625,0.00060992,0.00060992,0.00060992
14,38.8844,1.45416,1.89223,1.46798,0.71615,0.25483,0.33075,0.15781,1.78051,2.24157,1.6043,0.000640492,0.000640492,0.000640492
15,39.8199,1.58246,2.17451,1.56779,0.61322,0.30923,0.30596,0.13024,2.04945,2.17223,1.76342,0.00066859,0.00066859,0.00066859
16,40.6641,1.39867,1.72833,1.45313,0.58758,0.30648,0.29319,0.12547,2.11456,2.183,1.82095,0.000694212,0.000694212,0.000694212
17,41.5072,1.59016,1.99527,1.53385,0.30942,0.30086,0.26827,0.12085,1.98691,2.28988,1.73063,0.00071736,0.00071736,0.00071736
18,42.4044,1.46297,1.78533,1.47349,0.29055,0.31671,0.24269,0.11283,1.94982,2.32044,1.70521,0.000738032,0.000738032,0.000738032
19,43.2791,1.45236,1.85267,1.45858,0.31357,0.34877,0.25529,0.11503,1.87701,2.33466,1.67459,0.00075623,0.00075623,0.00075623
20,44.204,1.47735,1.88553,1.51427,0.34721,0.37019,0.3552,0.17417,1.76801,2.33276,1.59179,0.000771953,0.000771953,0.000771953
21,45.1174,1.48962,1.78652,1.4936,0.48597,0.28228,0.38008,0.18773,1.72955,2.22241,1.57969,0.000755,0.000755,0.000755
22,46.0145,1.43161,1.73557,1.46075,0.38872,0.33365,0.35731,0.18128,1.78655,2.06428,1.60184,0.00073025,0.00073025,0.00073025
23,46.8844,1.44969,1.72319,1.46031,0.42193,0.35084,0.36342,0.16737,1.82947,2.01023,1.62333,0.0007055,0.0007055,0.0007055
24,47.7803,1.41057,1.67777,1.43199,0.34167,0.35978,0.3511,0.17059,1.62674,1.93622,1.51519,0.00068075,0.00068075,0.00068075
25,48.6388,1.42257,1.7284,1.42788,0.37489,0.39652,0.38738,0.19522,1.53326,1.89845,1.46918,0.000656,0.000656,0.000656
26,49.5117,1.40696,1.74929,1.45589,0.31191,0.4381,0.35347,0.18226,1.56567,1.81992,1.48116,0.00063125,0.00063125,0.00063125
27,50.3926,1.308,1.6743,1.39354,0.3769,0.37092,0.3816,0.18872,1.63648,1.76378,1.50728,0.0006065,0.0006065,0.0006065
28,51.2773,1.43498,1.65397,1.43319,0.49268,0.37659,0.40102,0.19668,1.66154,1.72239,1.47668,0.00058175,0.00058175,0.00058175
29,52.1785,1.40141,1.59285,1.41138,0.57984,0.39588,0.41337,0.20212,1.53975,1.66009,1.42599,0.000557,0.000557,0.000557
