epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3138,1.84399,3.33518,1.66163,0.01649,0.87621,0.22778,0.13075,1.37113,2.77289,1.11512,0.000325,0.000325,0.000325
2,28.9541,1.41916,2.11674,1.28397,0.70878,0.43368,0.45561,0.20551,1.92851,2.33727,1.28125,0.000655941,0.000655941,0.000655941
3,35.8954,1.32295,1.62003,1.22002,0.80976,0.52183,0.61218,0.28144,1.85563,1.9111,1.31496,0.0009802,0.0009802,0.0009802
4,42.864,1.25228,1.40696,1.20207,0.71766,0.70128,0.72118,0.44309,1.26153,1.4827,1.18498,0.00121287,0.00121287,0.00121287
5,51.9814,1.25211,1.32365,1.19489,0.75274,0.65073,0.73038,0.47031,1.31503,1.67397,1.25254,0.0012005,0.0012005,0.0012005
6,60.3539,1.20773,1.24138,1.19284,0.80852,0.7756,0.80671,0.52655,1.24638,1.10828,1.17516,0.00118812,0.00118812,0.00118812
7,68.9832,1.17754,1.19289,1.18096,0.81064,0.85771,0.85591,0.51668,1.37178,1.07817,1.20182,0.00117575,0.00117575,0.00117575
8,78.7667,1.15976,1.13614,1.17903,0.8883,0.81919,0.87131,0.59547,1.12484,0.89749,1.11179,0.00116337,0.00116337,0.00116337
9,86.2943,1.12206,1.07975,1.16509,0.86695,0.84592,0.86565,0.57664,1.17103,0.86777,1.13074,0.001151,0.001151,0.001151
10,95.0243,1.13712,1.03711,1.1662,0.87987,0.84173,0.87556,0.54241,1.32686,0.86355,1.17387,0.00113863,0.00113863,0.00113863
11,103.59,1.13774,1.01496,1.15452,0.86886,0.83707,0.86626,0.59427,1.12489,0.84417,1.08906,0.00112625,0.00112625,0.00112625
12,111.531,1.06258,0.97421,1.12688,0.86717,0.84701,0.87644,0.60979,1.08462,0.78805,1.07503,0.00111388,0.00111388,0.00111388
13,120.662,1.08806,0.96351,1.14095,0.88351,0.86623,0.88762,0.61646,1.10322,0.78331,1.12335,0.0011015,0.0011015,0.0011015
14,129.314,1.10617,0.97061,1.14544,0.89668,0.85696,0.88179,0.59541,1.13413,0.76198,1.09675,0.00108913,0.00108913,0.00108913
15,137.97,1.06087,0.94687,1.11859,0.89937,0.84865,0.88136,0.58474,1.17281,0.7742,1.10849,0.00107675,0.00107675,0.00107675
16,146.696,1.03846,0.8894,1.11993,0.93105,0.81842,0.89584,0.57547,1.26264,0.73689,1.15607,0.00106437,0.00106437,0.00106437
17,155.472,1.05176,0.91365,1.13372,0.91473,0.84628,0.89477,0.54789,1.31779,0.75151,1.16367,0.001052,0.001052,0.001052
18,163.514,1.0689,0.90347,1.11976,0.91303,0.86615,0.89523,0.59784,1.16257,0.77498,1.11493,0.00103962,0.00103962,0.00103962
19,172.314,1.05819,0.86438,1.11106,0.89834,0.84848,0.88416,0.6388,0.99705,0.73285,1.05897,0.00102725,0.00102725,0.00102725
20,181.243,0.98476,0.8127,1.08461,0.83222,0.84976,0.88794,0.57484,1.24388,0.76727,1.1181,0.00101488,0.00101488,0.00101488
21,190.657,1.05321,0.87214,1.12016,0.9157,0.85644,0.89311,0.61299,1.12445,0.69374,1.07889,0.0010025,0.0010025,0.0010025
22,198.434,0.99728,0.82771,1.09606,0.87025,0.86346,0.90783,0.64422,1.04442,0.69003,1.09347,0.000990125,0.000990125,0.000990125
23,207.724,0.99024,0.81439,1.10103,0.89771,0.8399,0.89551,0.62681,1.07059,0.69563,1.07873,0.00097775,0.00097775,0.00097775
24,216.576,0.99845,0.7985,1.08932,0.8908,0.8439,0.89814,0.62746,1.05902,0.68364,1.07687,0.000965375,0.000965375,0.000965375
25,224.351,0.99246,0.79879,1.08979,0.88492,0.86477,0.89854,0.62795,1.05828,0.70585,1.07613,0.000953,0.000953,0.000953
26,232.754,1.01848,0.79957,1.09783,0.87576,0.8321,0.86108,0.56704,1.20441,0.74384,1.12031,0.000940625,0.000940625,0.000940625
27,241.834,1.01046,0.79512,1.0958,0.89764,0.86186,0.89268,0.60418,1.11716,0.67377,1.11751,0.00092825,0.00092825,0.00092825
28,250.582,0.98711,0.78849,1.09827,0.905,0.854,0.90044,0.63953,1.0115,0.6425,1.06239,0.000915875,0.000915875,0.000915875
29,258.85,0.96612,0.75712,1.0815,0.89472,0.8614,0.89959,0.67138,0.92409,0.62814,1.04237,0.0009035,0.0009035,0.0009035
30,267.26,1.00375,0.78611,1.10426,0.91284,0.84318,0.88715,0.65874,0.93956,0.64934,1.04457,0.000891125,0.000891125,0.000891125
31,276.827,0.98879,0.7889,1.10158,0.85802,0.87219,0.89454,0.62652,1.05468,0.76525,1.0619,0.00087875,0.00087875,0.00087875
32,285.122,0.99727,0.75988,1.08802,0.88764,0.85569,0.90007,0.60268,1.16795,0.69696,1.09752,0.000866375,0.000866375,0.000866375
33,294.414,1.01089,0.771,1.09231,0.88511,0.81461,0.89756,0.65869,0.96294,0.64027,1.04622,0.000854,0.000854,0.000854
34,302.746,0.98577,0.75747,1.0893,0.90471,0.8396,0.90532,0.65562,0.98791,0.62863,1.05988,0.000841625,0.000841625,0.000841625
35,311.16,0.99542,0.76153,1.09741,0.89372,0.84209,0.89988,0.62928,1.07544,0.62497,1.0591,0.00082925,0.00082925,0.00082925
36,320.483,0.95536,0.76168,1.08703,0.8971,0.84593,0.90055,0.65644,0.99701,0.63185,1.05287,0.000816875,0.000816875,0.000816875
37,327.545,0.94355,0.71271,1.06335,0.88849,0.85087,0.89472,0.65042,0.95904,0.63725,1.04843,0.0008045,0.0008045,0.0008045
38,335.464,0.93453,0.72302,1.06631,0.91503,0.85438,0.90148,0.66329,0.94366,0.60745,1.03064,0.000792125,0.000792125,0.000792125
39,344.584,0.9566,0.71967,1.07668,0.93698,0.84175,0.90494,0.65495,0.97601,0.61168,1.04726,0.00077975,0.00077975,0.00077975
